time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count,all_queries,queries_active,queries_standby,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
361,1,0,0,0,0,0.269638,349,0,0,0,0,0,0,0,2640,0,0,214,0,0,3,0,0,0.0921693,593,0.0381178,593,0.0067292,593,0.0472925,593,0.0182938,331,0.0001028,331,0.001445,30,0.000267,43,0.0164399,331,0.0012139,331,0.0007233,311,0.0002679,2,0.0009566,14,0.0001662,329,0.0005979,331,0.0051965,331,0.0001318,331,3.62e-005,331,0.0069141,331,0.0012439,331,0.004545,331,0.0009473,311,30081,331
461,1,1,0.3,0.06,0.006,0.262638,0,0,0,0,0,0,0,0,2653,0,0,214,0,0,0,0,0,0.118407,793,0.0396451,793,0.0090215,793,0.0697033,793,0.0250491,531,0.0001531,531,0.0016653,44,0.0003312,68,0.0228463,531,0.0017774,531,0.0009918,511,0.0002679,2,0.0009566,14,0.0002319,529,0.0007268,531,0.0073083,531,0.0001936,531,4.98e-005,531,0.0099475,531,0.001697,531,0.0065529,531,0.0014353,511,47481,531
561,1,0,0.21,0.09,0.0144,0.332,0,0,0,0,0,0,0,0,2653,0,0,214,0,0,0,0,0,0.155824,993,0.0398235,993,0.0125724,993,0.10338,993,0.0355617,731,0.0002473,731,0.0019781,57,0.0004572,93,0.0328116,731,0.0026069,731,0.0013847,711,0.0002679,2,0.0009566,14,0.0003257,729,0.0009033,731,0.0103812,731,0.0002691,731,7.05e-005,731,0.0150743,731,0.0024962,731,0.0099671,731,0.0022057,711,64881,731
661,1,0,0.147,0.1014,0.0231,0.408425,0,0,0,0,0,0,0,0,2653,0,0,214,0,0,0,0,0,0.194555,1193,0.040017,1193,0.0163706,1193,0.13811,1193,0.0464569,931,0.0003276,931,0.00229,69,0.0005846,118,0.0431562,931,0.0035062,931,0.0017903,911,0.0002679,2,0.0009566,14,0.0004144,929,0.0011072,931,0.0134501,931,0.0003448,931,9.02e-005,931,0.0204755,931,0.0033267,931,0.0135936,931,0.003021,911,82281,931
761,1,0,0.1029,0.1017,0.03096,0.437075,0,0,0,0,0,0,0,0,2653,0,0,214,0,0,0,0,0,0.237211,1393,0.0402225,1393,0.0204867,1393,0.176433,1393,0.0585988,1131,0.0004396,1131,0.0027342,82,0.0007078,143,0.0546023,1131,0.0044657,1131,0.0022793,1111,0.0002679,2,0.0009566,14,0.0005143,1129,0.0013508,1131,0.0168074,1131,0.0004295,1131,0.0001118,1131,0.0264857,1131,0.0043719,1131,0.0174479,1131,0.0039728,1111,99681,1131
861,1,0,0.07203,0.095766,0.0374406,0.392425,0,0,0,0,0,0,0,0,2653,0,0,214,0,0,0,0,0,0.279164,1593,0.0404999,1593,0.0241537,1593,0.21443,1593,0.0710547,1331,0.0005374,1331,0.0034122,96,0.000842,168,0.066128,1331,0.0053948,1331,0.0027673,1311,0.0002679,2,0.0009566,14,0.0006239,1329,0.001627,1331,0.0201303,1331,0.0005171,1331,0.0001364,1331,0.0325939,1331,0.0054216,1331,0.0214307,1331,0.0049077,1311,117081,1331
961,1,0,0.050421,0.086697,0.0423662,0.319649,0,0,0,0,0,0,0,0,2653,0,0,214,0,0,0,0,0,0.314636,1793,0.0406798,1793,0.0272663,1793,0.2466,1793,0.0814295,1531,0.0006367,1531,0.0036974,109,0.000949,193,0.0759936,1531,0.0062068,1531,0.0032408,1511,0.0002679,2,0.0009566,14,0.0007157,1529,0.0018253,1531,0.0230447,1531,0.0005955,1531,0.0001573,1531,0.0377096,1531,0.0062269,1531,0.0247722,1531,0.0057583,1511,134481,1531
1061,1,1,0.335295,0.136417,0.0517713,0.248575,0,11.4351,0.00652122,0.137708,0.00175632,0.00114365,4.05086,0,71,11,0,214,0,0,0,0,0,0.344884,1993,0.041354,1993,0.029573,1993,0.273857,1993,0.0906569,1731,0.0007102,1731,0.0040124,122,0.0010668,218,0.0847002,1731,0.0069927,1731,0.0036031,1711,0.0002679,2,0.0010184,15,0.000829,1729,0.0020745,1731,0.0255714,1731,0.0006634,1731,0.0001758,1731,0.0420874,1731,0.0069163,1731,0.0276972,1731,0.0064078,1711,151881,1731
1161,1,0,0.234706,0.156075,0.0622016,0.15286,3,2.41142,0.113184,0.0910897,0.00258896,0.00193305,3.42403,0,38,9,0,214,0,0,0,0,0,0.362598,2193,0.0418943,2193,0.0308738,2193,0.289722,2193,0.095463,1931,0.0007566,1931,0.0041325,135,0.0011227,243,0.0892724,1931,0.0073514,1931,0.0038242,1911,0.0002679,2,0.0010356,16,0.0008833,1927,0.0021784,1931,0.0270735,1931,0.0007116,1931,0.0001888,1931,0.0442513,1931,0.0072276,1931,0.0291711,1931,0.0067155,1911,169281,1931
1261,1,0,0.164294,0.157718,0.0717533,0.169685,3,1.44544,0.0652306,0.0515022,0.00238788,0.00427982,3.44667,0,28,5,0,214,0,0,0,0,0,0.37915,2393,0.042288,2393,0.0321499,2393,0.304596,2393,0.0998127,2131,0.0007941,2131,0.0042258,147,0.0011733,268,0.0934307,2131,0.0076771,2131,0.00399,2111,0.0002679,2,0.0010356,16,0.0009349,2127,0.002277,2131,0.0284362,2131,0.0007774,2131,0.0002028,2131,0.0462402,2131,0.0074703,2131,0.0305359,2131,0.0070283,2111,186681,2131
1361,1,0,0.115006,0.149176,0.0794955,0.151867,3,1.16889,0.0903577,0.0376226,0.00261585,0.00177907,3.35805,0,20,5,0,214,0,0,0,0,0,0.395539,2593,0.042858,2593,0.0333043,2593,0.319252,2593,0.104103,2331,0.0008335,2331,0.0043242,160,0.0012219,293,0.0975225,2331,0.0079978,2331,0.0041577,2311,0.0002679,2,0.0010356,16,0.0009839,2327,0.0023798,2331,0.0298311,2331,0.0008246,2331,0.0002154,2331,0.0481512,2331,0.0077094,2331,0.0318536,2331,0.0073121,2311,204081,2331
1461,1,0,0.0805043,0.135442,0.0850902,0.160306,2,1.08093,0.0818174,0.0311212,0.00217287,0.00186353,3.48682,0,19,5,0,214,0,0,0,0,0,0.413504,2793,0.043222,2793,0.0347703,2793,0.335379,2793,0.108862,2531,0.0008761,2531,0.0044256,172,0.0012742,318,0.102072,2531,0.0083295,2531,0.0043383,2511,0.0002679,2,0.0011571,17,0.0010355,2527,0.0024859,2531,0.0313113,2531,0.0008719,2531,0.000229,2531,0.0502797,2531,0.0080124,2531,0.0332955,2531,0.0076221,2511,221481,2531
1561,1,0,0.056353,0.119624,0.0885435,0.179079,2,1.22919,0.115288,0.0409518,0.0028843,0.00201755,3.40116,0,16,5,0,214,0,0,0,0,0,0.43003,2993,0.0435374,2993,0.0359625,2993,0.35039,2993,0.113338,2731,0.0009153,2731,0.0045431,186,0.0013233,343,0.106331,2731,0.0086506,2731,0.0045084,2711,0.0002679,2,0.0011571,17,0.001086,2727,0.002596,2731,0.0327675,2731,0.0009194,2731,0.0002431,2731,0.0522837,2731,0.0082701,2731,0.0346797,2731,0.0079166,2711,238881,2731
1661,1,0,0.0394471,0.103589,0.090048,0.170595,3,1.08385,0.105194,0.0327934,0.00288914,0.00220693,3.7796,0,13,6,0,214,0,0,0,0,0,0.449759,3193,0.0439634,3193,0.0375629,3193,0.368085,3193,0.118696,2931,0.0009588,2931,0.0046831,198,0.001388,368,0.111428,2931,0.0090249,2931,0.0047253,2911,0.0002679,2,0.0011571,17,0.0011452,2927,0.0027262,2931,0.0345397,2931,0.0009703,2931,0.0002562,2931,0.0546653,2931,0.0086136,2931,0.0362935,2931,0.0082657,2911,256281,2931
1761,1,0,0.027613,0.0883934,0.0898826,0.158834,3,1.00721,0.0932487,0.0303361,0.00244138,0.00176269,3.33899,0,12,4,0,214,0,0,0,0,0,0.465764,3393,0.0443369,3393,0.0387924,3393,0.382478,3393,0.122868,3131,0.000996,3131,0.0047785,211,0.0014363,393,0.115408,3131,0.009343,3131,0.0048898,3111,0.0002679,2,0.0011571,17,0.0011943,3127,0.0028289,3131,0.0358954,3131,0.0010157,3131,0.0002692,3131,0.0565135,3131,0.008845,3131,0.0375636,3131,0.008544,3111,273681,3131
1861,1,0,0.0193291,0.0745806,0.0883524,0.321873,3,0.879301,0.0644613,0.0261102,0.00240851,0.00271137,3.33476,0,12,3,0,214,0,0,0,0,0,0.483403,3593,0.0448457,3593,0.0401442,3593,0.398248,3593,0.127496,3331,0.0010356,3331,0.0048895,223,0.0014942,418,0.119816,3331,0.0096708,3331,0.0050593,3311,0.0002679,2,0.0011571,17,0.0012443,3327,0.00293,3331,0.0374485,3331,0.0010634,3331,0.0002831,3331,0.0585708,3331,0.0091089,3331,0.0389808,3331,0.0088486,3311,291081,3331
1961,1,0,0.0135303,0.0623705,0.0857542,0.329716,2,0.982027,0.0615239,0.0244459,0.00215191,0.00162873,3.29584,0,17,5,0,214,0,0,0,0,0,0.509258,3793,0.0453002,3793,0.0423691,3793,0.421415,3793,0.134921,3531,0.0010922,3531,0.0050716,236,0.0015628,443,0.126923,3531,0.0101823,3531,0.0053101,3511,0.0002679,2,0.0011571,17,0.0013147,3527,0.0030826,3531,0.0396733,3531,0.0011214,3531,0.0003045,3531,0.0622711,3531,0.0097324,3531,0.0414513,3531,0.0093638,3511,308481,3531
2061,1,0,0.00947124,0.0517907,0.0823578,0.315854,1,1.01522,0.074246,0.0240254,0.00226098,0.00170517,3.30628,0,12,5,0,214,0,0,0,0,0,0.537976,3993,0.0458028,3993,0.0448711,3993,0.447119,3993,0.143232,3731,0.0011538,3731,0.0053394,248,0.0016462,468,0.134809,3731,0.0107778,3731,0.0055822,3711,0.0002679,2,0.0011571,17,0.001409,3727,0.0032388,3731,0.0420935,3731,0.0011809,3731,0.0003304,3731,0.066411,3731,0.0104277,3731,0.0442074,3731,0.0099546,3711,325881,3731
2161,1,0,0.00662987,0.0427585,0.0783979,0.243143,2,0.843621,0.0609286,0.0242889,0.0022642,0.0016337,3.23637,0,12,3,0,214,0,0,0,0,0,0.561917,4193,0.0462328,4193,0.0468422,4193,0.468649,4193,0.15024,3931,0.0012091,3931,0.0055297,261,0.0017186,493,0.14147,3931,0.0112628,3931,0.0058228,3911,0.0002679,2,0.0011571,17,0.0014777,3927,0.0033728,3931,0.0441205,3931,0.0012397,3931,0.000351,3931,0.0699247,3931,0.0109753,3931,0.0465029,3931,0.0105347,3911,343281,3931
2261,1,0,0.00464091,0.035135,0.0740716,0.208163,2,0.936814,0.0859441,0.0243652,0.00226766,0.00171649,3.29318,0,15,4,0,214,0,0,0,0,0,0.583861,4393,0.0466774,4393,0.0485958,4393,0.488385,4393,0.156485,4131,0.0012575,4131,0.0057946,273,0.0018052,518,0.147302,4131,0.0116879,4131,0.0060403,4111,0.0002679,2,0.0011571,17,0.0015408,4127,0.0034994,4131,0.0460099,4131,0.0012949,4131,0.0003675,4131,0.0728245,4131,0.0114155,4131,0.0484503,4131,0.0109639,4111,360681,4131
2361,1,0,0.00324864,0.0287577,0.0695402,0.173341,1,0.927654,0.0619762,0.0240351,0.00220443,0.00167386,3.25768,0,14,4,0,214,0,0,0,0,0,0.602444,4593,0.0470313,4593,0.0499794,4593,0.505224,4593,0.161638,4331,0.0013198,4331,0.0059816,286,0.0018673,543,0.152134,4331,0.0120606,4331,0.0062461,4311,0.0002679,2,0.0011571,17,0.0015944,4327,0.0036055,4331,0.0475827,4331,0.0013497,4331,0.0003822,4331,0.075179,4331,0.0117474,4331,0.0500477,4331,0.0113118,4311,378081,4331
2461,1,0,0.00227405,0.023461,0.0649323,0.176582,1,0.974366,0.0716804,0.0241375,0.00216338,0.00170284,3.27169,0,12,5,0,214,0,0,0,0,0,0.620233,4793,0.047374,4793,0.0512321,4793,0.521409,4793,0.166717,4531,0.0013596,4531,0.0061666,298,0.0019323,568,0.156912,4531,0.0124136,4531,0.0064339,4511,0.0002679,2,0.0011718,18,0.0016471,4527,0.0037151,4531,0.0491378,4531,0.0014003,4531,0.0003968,4531,0.0775268,4531,0.012082,4531,0.0516091,4531,0.0116875,4511,395481,4531
2561,1,0,0.00159183,0.0190872,0.0603478,0.186407,1,0.901576,0.0604521,0.0242812,0.00219489,0.00157407,3.32635,0,12,3,0,214,0,0,0,0,0,0.638626,4993,0.0478076,4993,0.0527212,4993,0.537871,4993,0.171762,4731,0.0014024,4731,0.0063309,311,0.0020203,593,0.161651,4731,0.0127724,4731,0.0066266,4711,0.0002679,2,0.0011718,18,0.0017008,4727,0.0038195,4731,0.0507344,4731,0.0014515,4731,0.000412,4731,0.0798002,4731,0.0123927,4731,0.0531563,4731,0.0120262,4711,412881,4731
2661,1,0,0.00111428,0.0154926,0.0558623,0.157683,1,0.889205,0.10202,0.0245127,0.00236498,0.00175996,3.27382,0,18,4,0,214,0,0,0,0,0,0.656814,5193,0.0482706,5193,0.0541372,5193,0.554171,5193,0.176684,4931,0.0014441,4931,0.0064559,323,0.0020755,618,0.166338,4931,0.0131247,4931,0.0068155,4911,0.0002679,2,0.0011718,18,0.001757,4927,0.0039352,4931,0.0523709,4931,0.0015017,4931,0.0004254,4931,0.0819836,4931,0.0126819,4931,0.0546494,4931,0.0123545,4911,430281,4931
2761,1,0,0.000779998,0.0125501,0.051531,0.151087,2,0.945604,0.0668706,0.0248836,0.00224905,0.00168241,3.30833,0,14,4,0,214,0,0,0,0,0,0.672835,5393,0.0486167,5393,0.055242,5393,0.568733,5393,0.181185,5131,0.0014804,5131,0.006613,336,0.0021311,643,0.170579,5131,0.0134456,5131,0.0069903,5111,0.0002679,2,0.0011895,19,0.0018079,5127,0.0040509,5131,0.0538482,5131,0.001553,5131,0.0004377,5131,0.0839175,5131,0.0129347,5131,0.0559645,5131,0.0126521,5111,447681,5131
2861,1,0,0.000545998,0.0101493,0.0473929,0.157382,1,0.978638,0.0751278,0.0255695,0.00221752,0.00173093,3.33268,0,12,4,0,214,0,0,0,0,0,0.688705,5593,0.0489919,5593,0.0564306,5593,0.58303,5593,0.185325,5331,0.001516,5331,0.0067026,348,0.0021933,668,0.174521,5331,0.0137585,5331,0.007156,5311,0.0002679,2,0.0011895,19,0.0018576,5327,0.0041597,5331,0.0551874,5331,0.0016092,5331,0.0004499,5331,0.0857298,5331,0.0131591,5331,0.0572125,5331,0.0129247,5311,465081,5331
2961,1,0,0.000382199,0.00819584,0.0434732,0.173441,2,0.904611,0.0725637,0.0375244,0.00215768,0.00199309,3.26066,0,12,3,0,214,0,0,0,0,0,0.70625,5793,0.0493658,5793,0.0577653,5793,0.598858,5793,0.190115,5531,0.0015537,5531,0.0068096,361,0.0022531,693,0.179094,5531,0.0141016,5531,0.0073467,5511,0.0002679,2,0.0011895,19,0.0019095,5527,0.0043003,5531,0.0566966,5531,0.0016579,5531,0.000464,5531,0.0878951,5531,0.0134625,5531,0.0586795,5531,0.0132479,5511,482481,5531
3061,1,0,0.000267539,0.00661018,0.0397869,0.191153,5,0.925314,0.068727,0.0241311,0.00313574,0.001649,3.27983,0,12,3,0,214,0,0,0,0,0,0.723322,5993,0.049757,5993,0.0590535,5993,0.614244,5993,0.194621,5731,0.0015914,5731,0.0070001,373,0.0023284,718,0.183285,5731,0.0144247,5731,0.0075295,5711,0.0002679,2,0.0011895,19,0.0019614,5727,0.0044141,5731,0.0581041,5731,0.0017074,5731,0.0004765,5731,0.0898542,5731,0.0137411,5731,0.0600008,5731,0.013537,5711,499881,5731
3161,1,0,0.000187277,0.0053256,0.0363407,0.174381,2,0.987731,0.0630354,0.0313535,0.00288216,0.00214164,3.27471,0,14,4,0,214,0,0,0,0,0,0.739907,6193,0.0501206,6193,0.0602955,6193,0.629214,6193,0.199062,5931,0.0016272,5931,0.0070996,386,0.0023909,743,0.187518,5931,0.0147772,5931,0.0077101,5911,0.0002679,2,0.0011895,19,0.0020125,5927,0.0045205,5931,0.0595117,5931,0.0017553,5931,0.0004897,5931,0.0918386,5931,0.0140046,5931,0.0613563,5931,0.0138312,5911,517281,5931
3261,1,4,1.20013,0.244287,0.0571353,0.19532,3,1.0394,0.0861345,0.0238918,0.00213648,0.00386305,3.34474,0,12,6,0,214,0,0,0,0,0,0.757492,6393,0.050436,6393,0.0614029,6393,0.645368,6393,0.205508,6131,0.0016645,6131,0.0077246,408,0.0024461,768,0.193234,6131,0.0150835,6131,0.0078872,6111,0.0006903,3,0.0011933,20,0.0020604,6126,0.0048901,6131,0.0608527,6131,0.0018014,6131,0.000558,6131,0.0946352,6131,0.0143384,6131,0.0629153,6131,0.0146579,6111,539153,6131
3361,1,0,0.840092,0.363448,0.0877666,0.488987,1,1.82038,0.0893557,0.0499045,0.0047504,0.00302462,3.36359,0,12,3,0,214,0,0,0,0,0,0.798281,6593,0.0509263,6593,0.0628724,6593,0.684189,6593,0.232876,6331,0.0017153,6331,0.0091418,462,0.0025549,793,0.21901,6331,0.0154555,6331,0.0081094,6311,0.0054601,6,0.0016963,31,0.002113,6317,0.0074434,6331,0.0624496,6331,0.0018533,6331,0.0008289,6331,0.109889,6331,0.0162229,6331,0.0661693,6331,0.024507,6311,618741,6331
3461,1,1,0.888064,0.468371,0.125827,0.567597,1,1.14153,0.056149,0.0266927,0.00244867,0.00658975,3.30691,0,12,3,0,214,0,0,0,0,0,0.853524,6793,0.051346,6793,0.0642837,6793,0.737593,6793,0.276182,6531,0.0017583,6531,0.0123829,540,0.0026817,818,0.258865,6531,0.0157666,6531,0.0083271,6511,0.0089415,14,0.0018579,57,0.002166,6506,0.0137427,6531,0.0639537,6531,0.0019021,6531,0.001744,6531,0.136632,6531,0.0199766,6531,0.068894,6531,0.0443211,6511,774662,6531
3561,1,0,0.621645,0.499026,0.163147,0.554148,3,0.975508,0.0564717,0.0249452,0.00227038,0.0017199,3.59937,0,14,4,0,214,0,0,0,0,0,0.910936,6993,0.0517859,6993,0.0655963,6993,0.793244,6993,0.322961,6731,0.001796,6731,0.0158081,611,0.0028232,843,0.302024,6731,0.016074,6731,0.0085396,6711,0.0129306,21,0.0019914,79,0.0022152,6699,0.0212767,6731,0.0654971,6731,0.0019499,6731,0.002664,6731,0.164937,6731,0.0245267,6731,0.071578,6731,0.0648748,6711,947950,6731
3661,1,0,0.435151,0.486251,0.195457,0.555023,4,0.957788,0.0578258,0.0259299,0.00228296,0.00168259,3.30309,0,13,4,0,214,0,0,0,0,0,0.972403,7193,0.0524916,7193,0.0668757,7193,0.852719,7193,0.373106,6931,0.0018348,6931,0.0192286,705,0.0029864,868,0.348529,6931,0.0163915,6931,0.0087667,6911,0.0161389,27,0.0020739,102,0.0022689,6893,0.0292133,6931,0.0670136,6931,0.0019966,6931,0.0036264,6931,0.196967,6931,0.0300928,6931,0.0742715,6931,0.0881659,6911,1148207,6931
